Name,Start Date,Tickets Available,Currency Type,Lowest Ticket Price,Highest Ticket Price,Ticket Limit,Seatmap,Promoter,Venue,Venue URL,Please Note
Warren Civic Music Series 2024-2025,10/9/2024,2024-06-28T14:00:00Z,USD,145,145,,https://mapsapi.tmol.io/maps/geometry/3/event/050060CE9CB057D3/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Packard Music Hall,https://www.ticketmaster.com/packard-music-hall-tickets-warren/venue/41338,
Hunny,11/19/2024,2023-09-29T18:00:00Z,USD,22,22,,https://mapsapi.tmol.io/maps/geometry/3/event/19005F3CC6982488/staticImage?type=png&systemId=HOST,PHENOMENON CONCERTS,Nile Theater,https://www.ticketmaster.com/nile-theater-tickets-mesa/venue/204958,"Unfortunately, the Event Organizer has had to cancel your event. You don't need to do a thing. We'll issue a refund to the original method of payment used at time of purchase, as soon as funds are received from the Event Organizer. It should appear on your account within 14-21 days. Please Note: If the tickets were transferred to you, the refund will go to the fan who originally purchased the tickets from Ticketmaster. Please see our Purchase Policy for more information."
Ticket for you  + 1 for ALL 2025 shows!,1/9/2025,2025-01-09T13:35:00Z,USD,199,199,,,,Blue Moon Saloon,https://www.ticketweb.com/venue/blue-moon-saloon-lafayette-la/431575,
3rd Thursday Tribute Series Ticket Pass,1/16/2025,2024-11-29T18:00:00Z,USD,240,240,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/1C006176EE736DC2/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,The Venue at Thunder Valley Casino Resort,https://www.ticketmaster.com/the-venue-at-thunder-valley-casino-tickets-lincoln/venue/230121,"THIRD THURSDAY TRIBUTE SERIES TICKET PASS. ALL GA/OPEN SEATING. MUST BE 21+ TO ATTEND. HOWEVER, GUESTS BETWEEN THE AGES OF 13-20 MAY ATTEND IF ACCOMPANIED AT ALL TIMES BY AN ADULT 21 YEARS OR OLDER. NO REFUNDS OR EXCHANGES. IN AN EFFORT TO ENHANCE PUBLIC SAFETY, THUNDER VALLEY CASINO RESORT LIMITS THE SIZE AND STYLE OF BAGS ALLOWED IN THE VENUE. ALL BAGS ARE SUBJECT TO SEARCH. SECURITY MANAGEMENT RESERVES ALL RIGHTS."
Joanna Connor Band/Nicholas Alexander Blues Band,2/8/2025,2024-01-06T00:15:00Z,USD,20,20,,,,Kingston Mines - Chicago Blues Center,https://www.ticketweb.com/venue/kingston-mines--chicago-blues-center-chicago-il/18842,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. 21 years and over"
Saddle Up Country Dance Party!,2/8/2025,2025-01-07T15:25:00Z,USD,0,15,,,,Diamondback Music Hall,https://www.ticketweb.com/venue/diamondback-music-hall-belleville-mi/649583,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Sábados de Orquesta En Vivo en La Rumba!,2/8/2025,2025-02-04T17:45:00Z,USD,25.18,25.18,,,,La Rumba,https://www.ticketweb.com/venue/la-rumba-denver-co/496325,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
"Lupe Fiasco, Twista, & King Louie",2/8/2025,2024-12-13T19:20:00Z,USD,40,130,,,,The Forge,https://www.ticketweb.com/venue/the-forge-joliet-il/436055,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund."
"Silk the Shocker, Mac Phipps & Friends",2/8/2025,2025-01-19T00:55:00Z,USD,40,1500,,,,Dew Drop Inn Hotel & Lounge,https://www.ticketweb.com/venue/dew-drop-inn-hotel--lounge-new-orleans-la/653683,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
CONTRA GOLPE - LOS DE CHIHUAHUA - SINCERIDAD NORTENA,2/8/2025,2025-02-01T19:10:00Z,USD,16.51,49.78,,,,Stampede,https://www.ticketweb.com/venue/stampede-aurora-co/496285,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
"Beachland Brunch, DJ Jeff Hagan",2/9/2025,2025-01-27T10:00:00Z,USD,0,0,,,,Beachland Tavern,https://www.ticketweb.com/venue/beachland-tavern-cleveland-oh/10609,This show is all ages. A $2 fee will be charged at the door for patrons under the age of 21 Beachland Ballroom reserves the right to cancel / refund any or all order at any time for any reason. No Refunds. All Sales are final.
Sunday Writers Night Auditions,2/9/2025,2025-01-24T17:00:00Z,USD,0,0,,,,The Bluebird Cafe,https://www.ticketweb.com/venue/the-bluebird-cafe-nashville-tn/503035,"This audition is held for those who would like to perform on our Sunday Writers Night series, which takes place every Sunday evening at 8:00 pm. PLEASE NOTE: YOU MUST EITHER A) BE A MEMBER OF NSAI OR B) LIVE WITHIN 100 MILES OF NASHVILLE, TN TO BE ELIGIBLE TO AUDITION! PLEASE DO NOT SIGN UP IF YOU DO NOT MEET ONE OF THESE CRITERIA OR YOU WILL BE DISQUALIFIED. You must be in line outside The Bluebird no later than 10:15 a.m. to check in. You will perform in the order you arrive. Please be on time, you will not be included in the audition if you arrive after 10:30 a.m. Plan to play one verse and one chorus of one original song that YOU wrote (or co-wrote.) Excessively long instrumental intros and endings are not to your advantage as you have about one minute of total time to audition. Due to the large volume of songwriters, and the size of the room, particularly with so many instruments, we insist that you do not bring anyone to wait with you in line or to watch your audition as space is limited. Please bring your own guitar with a strap (as you will be standing.) You can plug in or we can mic your guitar. If you're plugging in, please check your pickup battery! Thanks to Taylor, we have a house guitar, if needed. Thanks to Kawai, we have a house keyboard, which will be ready for your use. Please do not bring your own, as there is limited space and it WILL NOT be used! Absolutely NO BACKING TAPES! Plan on being at The Bluebird for three hours minimum. If you need to cancel, you must call/email in advance (by no later than 4pm the Friday before your audition date) in order to attend a future audition. No call - no shows are not allowed to re-schedule an audition. Please DO NOT leave your trash outside on the ground or on the floor of the club. Although solos are preferred, you may have a maximum of three people on stage. NO drum sets or kits. When you begin your audition, please state your name, where you are from, and the title of the song you will perform. Please do not add any additional information, as we ask everything we want to know during the sign-up process. There is no smoking inside The Bluebird. Do not leave when you are done performing, please quietly sit back down and don't disrupt the next writer’s audition. We will take breaks to allow groups to leave. PLEASE BE ON TIME!!! If you are chosen to play on our Sunday Night Writer's Showcase, you will be notified via email within a few weeks and scheduled to play in about six to eight months. Please do not call to find out how you did. Good Luck... Keep writing! And remember, this will not make or break your career. We'll see you soon!"
The Rock and Roll Playhouse plays the Music of Stevie Wonder + More,2/9/2025,2024-11-15T15:00:00Z,USD,16,16,There is an eight (8) ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/00006167ED3675E5/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Brooklyn Bowl,https://www.ticketmaster.com/brooklyn-bowl-tickets-brooklyn/venue/1394,
Neil Young Brunch w/ Curt Vigg of Ragged Glory,2/9/2025,2025-01-09T03:50:00Z,USD,5,5,,,,The Winchester,https://www.ticketweb.com/venue/the-winchester-lakewood-oh/485405,
Da Sunday Open Jam & Trivia!,2/9/2025,2024-12-08T01:00:00Z,USD,0,0,,,,Hop Springs,https://www.ticketweb.com/venue/hop-springs-murfreesboro-tn/513565,
San Antonio Stock Show & Rodeo Followed By LeAnn Rimes,2/9/2025,2024-08-08T15:00:00Z,USD,35,100,There is an overall 10 ticket limit per household. Any orders exceeding this limit will be cancelled without notice.,https://mapsapi.tmol.io/maps/geometry/3/event/3A00609D8CF82570/staticImage?type=png&systemId=HOST,SAN ANTONIO LIVESTOCK & EXPO,Frost Bank Center,https://www.ticketmaster.com/frost-bank-center-tickets-san-antonio/venue/475590,"Concert performers are subject to change and are not a condition of ticket sale. The rodeo lasts approximately 2 hours. After the last bull has bucked, there is a brief intermission (approx. 15 minutes) followed by the entertainment. The concert lasts between 60 to 75 minutes. Your Rodeo ticket also includes Stock Show & Rodeo fairgrounds admission so that you can enjoy all that the 2025 San Antonio Stock Show and Rodeo has to offer. To review schedule of events and activities please keep checking our website at www.sarodeo.com Children 3 years and older must have a ticket."
Bluegrass Brunch in the CLUB with The BOX BAND,2/9/2025,2024-12-05T15:00:00Z,USD,0,0,,,FITZGERALDS,FITZGERALDS NIGHTCLUB,https://www.ticketweb.com/venue/fitzgeralds-nightclub-berwyn-il/504015,"Thank you for purchasing a ticket to FITZGERALDS! If you selected Will Call, you'll check in at the entrance when doors open for the show. Please have an ID ready. If the event is General Admission, there is no Reserved Seating. Under 21 ok if accompanied by parent or guardian. Tickets are NOT mailed to you unless you select delivery. All Tickets are Non-Refundable. All Tickets are Non-Transferrable. A NON-REFUNDABLE service charge will be added to the purchase price of each ticket - in the instance of a show cancellation, this fee will not be returned. Parking is available on the street with no permit restrictions or meters; DO NOT park in business or mini-mall lots or you will be towed. NO Filming or Audio Recording without written consent from the performing artist Outside food and/or drink is not allowed. Enjoy dinner at our restaurant BABYGOLD BARBECUE before the show or inside both The Club & Sidebar. Place a reservation here: https://resy.com/cities/brwy/babygold-barbecue - view the menu here: https://www.babygoldbbq.com/"
The World Famous Harlem Gospel Choir,2/9/2025,2024-11-06T14:00:00Z,USD,37.74,37.74,,,,Blue Note Jazz Club,https://www.ticketweb.com/venue/blue-note-jazz-club-new-york-ny/23798,"We do not offer any refunds, exchanges, or transfers on any ticket purchases. All sales are final. We do not have any liability or influence on tickets purchased through a ticket reselling or 3rd party site. Official ticket purchases are run through TicketWeb.com only."
"Mimosas & Motown: Sunday Brunch, Live at the Nikko FEB 9, Brunch begins ONE HOUR EARLIER at 10:30 AM / Show at 11:45 AM The show will conclude at 12:35 PM",2/9/2025,2024-12-01T18:00:00Z,USD,35.25,76.45,,,,Feinstein's at The Nikko,https://www.ticketweb.com/venue/feinsteins-at-the-nikko-san-francisco-ca/251414,"What You Need to Know We have partnered with the Mason / O'Farrell garage, located 1/2-block across the street from Hotel Nikko with entrances on both Mason and O'Farrell. They offer Feinstein's patrons a validated rate of $15 for five-hours of parking when your ticket is stamped by a Feinstein's host! There are no refunds or exchanges except in specific circumstance. Please email Feinsteins@hotenikkosf.com with questions. We charge $10 for ticket exchanges to a different day of a specific performers run, if exchanging for another time we will issue a refund to you, we do not transfer OR store credit, either the value of tickets or actual tickets, To exchange your ticket: Please ""purchase"" the amount of tickets you need to exchange. Once completed, your original order will be exchanged within 24-hours. You will receive an updated confirmation email from Ticketweb with a new order number. https://bit.ly/FeinsteinsTicketExchangePurchase For questions, please email feinsteins@hotelnikkosf.com. At this time Feinstein's at the Nikko is following the guidelines and recommendations as set forth by the city of San Francisco and the state of California in regards to masking and vaccinations. We honor your personal choice of whether to wear a mask, and leave it up to the guest's discretion. Please note: while rare, some artist's may request that their audience stay masked during their show. We will alert audience members in advance should any visiting artist request masking. For further information - https://www.feinsteinssf.com/safety-protocols/"
Triangle Youth Philharmonic & Jazz Ensemble Winter Concert,2/9/2025,2025-01-24T15:00:00Z,USD,25,25,,https://mapsapi.tmol.io/maps/geometry/3/event/2D006235BCF93D65/staticImage?type=png&systemId=HOST,,Martin Marietta Center for the Performing Arts,https://www.ticketmaster.com/martin-marietta-center-for-the-performing-tickets-raleigh/venue/369155,
Dixie National Rodeo Featuring Lorrie Morgan,2/9/2025,2024-10-24T15:00:00Z,USD,20,45,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/1B00614BDC845E2A/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Mississippi Coliseum,https://www.ticketmaster.com/mississippi-coliseum-tickets-jackson/venue/221763,"Children 18 months and older need a ticket. No Large Bags or Backpacks Allowed. Maximum Bag Size 12x12x6 All Bags Subject To Search. No Outside Food or Beverages Allowed. Other Prohibited Items: Animals (other than service animals), Banners, Illicit Drugs or Paraphernalia, Fireworks, Glitter, Laser Pointers, Helium Balloons. No Marketing / Soliciting / Vending Items"
BrownstoneJAZZ SOUL-FILLED SUNDAYS AFTER BRUNCH,2/9/2025,2024-12-02T21:35:00Z,USD,54.27,54.27,,,,BrownstoneJAZZ,https://www.ticketweb.com/venue/brownstonejazz-brooklyn--ny/417015,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Wind Symphony Concert,2/9/2025,2025-01-22T17:00:00Z,USD,3.5,3.5,,,PROMOTED BY VENUE,Fox Fine Arts Recital Hall,https://www.ticketmaster.com/fox-fine-arts-recital-hall-tickets-el-paso/venue/98880,
President's Concert II,2/9/2025,2025-01-09T17:00:00Z,USD,10,10,,https://mapsapi.tmol.io/maps/geometry/3/event/1900622987F72779/staticImage?type=png&systemId=HOST,PROMOTED BY VENUE,Crowder Hall - University of Arizona,https://www.ticketmaster.com/crowder-hall-university-of-arizona-tickets-tucson/venue/205125,
BrownstoneJAZZ SOUL-FILLED SUNDAYS AFTER BRUNCH,2/9/2025,2024-12-02T20:00:00Z,USD,54.27,54.27,,,,BrownstoneJAZZ,https://www.ticketweb.com/venue/brownstonejazz-brooklyn--ny/417015,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
Summer Camargo Sextet,2/9/2025,2024-11-12T15:35:00Z,USD,30.06,40.61,,,,Birdland Jazz Club,https://www.ticketweb.com/venue/birdland-jazz-club-new-york-ny/426135,
Emily Frembgen | Kris Lefcoe | Clare O'Kane,2/9/2025,2025-01-20T01:05:00Z,USD,11.55,11.55,,,,Berlin,https://www.ticketweb.com/venue/berlin-new-york-ny/435925,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
"The Browning, Dropout Kings, Filth, and The Defect in Orlando",2/9/2025,2024-09-09T15:00:00Z,USD,20,20,,,,Conduit,https://www.ticketweb.com/venue/conduit-winter-park-fl/26038,"This event is 18 and over. Any ticket holder unable to present valid identification indicating that they are at least 18 years of age will not be admitted to this event, and will not be eligible for a refund."
2nd Sunday Free Show with Zach Austin 5pm-7pm at The Nick,2/9/2025,2024-12-26T14:25:00Z,USD,0,0,,,,The Nick,https://www.ticketweb.com/venue/the-nick-birmingham-al/475725,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
"Lunar Vacation, Tasha",2/9/2025,2024-09-13T14:00:00Z,USD,20,20,,,,The Loving Touch,https://www.ticketweb.com/venue/the-loving-touch-ferndale-mi/232404,
Nicole Zuraitis: Siren Songs - Celebrating Women Songwriters,2/9/2025,2024-11-05T16:05:00Z,USD,30.06,40.61,,,,Birdland Theater,https://www.ticketweb.com/venue/birdland-theater-new-york-ny/553788,
Sunday Spotlight with Kristina Murray,2/9/2025,2025-02-03T14:00:00Z,USD,17.3,17.3,,,,The Bluebird Cafe,https://www.ticketweb.com/venue/the-bluebird-cafe-nashville-tn/503035,"***Please note, when you make a reservation at The Bluebird Cafe, you are agreeing to the following terms & conditions: • All ticket reservations are non-refundable. • Ticket reservations at The Bluebird Cafe are an agreement to pay the non-refundable cover charge and applicable taxes/fees and to meet the $12.00 per seat food and/or drink minimum. • If you are a “no show”, we reserve the right to charge your credit card for the $12.00 minimum for each seat in your reservation. • Ticket reservations are for your personal use. They are NOT transferrable and NOT for resale! We perform random I.D. checks and the name on the reservation must match the name on the I.D. • Please call (615-383-1461) or email (info@bluebirdcafe.com) to cancel your reservation AT LEAST 24 hours in advance. PLEASE NOTE if your reservations are for a Saturday or Sunday evening show, you need to cancel by 9:00 a.m. the Friday before or risk being charged. • Attendees are expected to show up by the start of the show for which they have tickets. Seats that are unclaimed once the show has started will be seated from the walk-up line. • Performers are subject to change. • Bar seats are only for customers 21 years of age or older. • Any guest under the age of 18 must be seated with a parent or guardian. • We require accessible seat requests to be made two weeks in advance of the show date for guaranteed accessible seats. If you made a reservation outside of that window using our online system, please call The Bluebird Cafe during office hours and we will do our best to accommodate your needs. Please know that if you reserved outside of the two week window, accessible seats are not guaranteed. • The Bluebird Cafe is a listening room. If you do not honor our SHHHH! policy (being quiet while the performers are on stage) you may be asked to leave. • No outside food and/or drink is allowed inside the venue. • Still photography is allowed, unless the artist requests otherwise. • RECORDING COPYRIGHTED MATERIAL (VIDEO OR AUDIO) IS PROHIBITED. • Parking is limited. We suggest for ticket holders to use rideshare apps such as Uber or Lyft for your visit, if possible. For those wanting to park, we have a small lot directly in front of the cafe and a larger gravel lot behind the cafe. To access our gravel lot, please use the alley entrance on Hillsboro Pike next to AT&T. Please do not utilize our neighbors’ parking lots, as they enforce towing and do NOT park at AT&T. All guests must enter and check in through our main entrance on Hillsboro Pike. • For the safety and comfort of all our guests, Bluebird Cafe management has the right to refuse service to anyone who is aggressive, hostile or appears to be intoxicated."
"""tripleS Come True"" World Tour in Chicago",2/9/2025,2025-01-22T19:00:00Z,USD,40,40,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0400623592CD0E0E/staticImage?type=png&systemId=HOST,,Outset,https://www.ticketmaster.com/outset-tickets-chicago/venue/33259,
"Fiji Blue: The ""glide"" Tour",2/9/2025,2024-08-09T17:00:00Z,USD,20,20,There is an eight (8) ticket limit per customer.,https://mapsapi.tmol.io/maps/geometry/3/event/010060F31E29BC9C/staticImage?type=png&systemId=HOST,LIVE NATION MUSIC,Brighton Music Hall presented by Citizens,https://www.ticketmaster.com/brighton-music-hall-presented-by-citizens-tickets-boston/venue/9089,
Yuridia - Sin Llorar US Tour 2025,2/9/2025,2024-09-27T14:00:00Z,USD,29.95,179.95,There is an overall 8 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/0E006134BC09415B/staticImage?type=png&systemId=HOST,MISCELLANEOUS PROMOTER,Gas South Arena,https://www.ticketmaster.com/gas-south-arena-tickets-duluth/venue/115298,"Ages 2 and older require a ticket. No Refunds. No Exchanges. Pricing, line up, and production setup may change without notice. Ticket purchases exceeding the posted ticket limit, either within a single order or across multiple orders, may be subject to order(s) being voided without notice. Las edades de 2 años o más requieren un boleto. Sin reembolsos. Sin intercambios. Los precios, la alineación y la configuración de producción pueden cambiar sin previo aviso. Las compras de boletos que excedan el límite de boletos publicados, ya sea dentro de un solo pedido o en múltiples pedidos, pueden estar sujetos a que los pedidos se anulen sin previo aviso."
Heavy Hitter,2/9/2025,2024-12-16T17:30:00Z,USD,15,15,,,,Madison Live (734),https://www.ticketweb.com/venue/madison-live-734-covington--ky/653963,
Real Estate: MORE TOUR,2/9/2025,2023-12-01T16:00:00Z,USD,25,25,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/3A005F6E003A40C4/staticImage?type=png&systemId=HOST,,White Oak Music Hall - Downstairs,https://www.ticketmaster.com/white-oak-music-hall-downstairs-tickets-houston/venue/476314,Originally scheduled for 16-MAY-2026 7:00PM. Previously purchased tickets will be honored for the new date
MICHELLE with Ayoni,2/9/2025,2024-09-27T15:00:00Z,USD,22,22,There is an overall 6 ticket limit for this event.,https://mapsapi.tmol.io/maps/geometry/3/event/3A00613783BC164C/staticImage?type=png&systemId=HOST,,White Oak Music Hall - Upstairs ,https://www.ticketmaster.com/white-oak-music-hall-upstairs-tickets-houston/venue/476313,Doors: 7pm This show is ALL AGES All General Admission Tickets are Standing Room only IMPORTANT: WHITE OAK MUSIC HALL IS A CASHLESS VENUE. Please be sure to bring a debit or credit card.
Kash Doll: The Last Doll Tour,2/9/2025,2024-10-24T14:00:00Z,USD,49.5,129.5,,,,Howard Theatre,https://www.ticketweb.com/venue/howard-theatre-washington-dc-dc/277554,
The Dirty Nil + Grumpster + House & Home,2/9/2025,2024-09-13T14:00:00Z,USD,25,25,,,,The Pyramid Scheme,https://www.ticketweb.com/venue/the-pyramid-scheme-grand-rapids-mi/224445,
Avishai Cohen Trio 'Brightlight',2/9/2025,2024-07-19T13:45:00Z,USD,49.38,66.27,,,,Blue Note Jazz Club,https://www.ticketweb.com/venue/blue-note-jazz-club-new-york-ny/23798,"We do not offer any refunds, exchanges, or transfers on any ticket purchases. All sales are final. We do not have any liability or influence on tickets purchased through a ticket reselling or 3rd party site. Official ticket purchases are run through TicketWeb.com only."
THE ORANGE BLOSSOMS | Bovine Bandits | 2/14 | Cortez,2/9/2025,2025-01-08T15:35:00Z,USD,13.61,13.61,,,,Berlin,https://www.ticketweb.com/venue/berlin-new-york-ny/435925,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
The Joe Brown Band,2/9/2025,2025-01-22T16:10:00Z,USD,15,15,,,,The Winchester,https://www.ticketweb.com/venue/the-winchester-lakewood-oh/485405,
Pop Out Concert with Trappy,2/9/2025,2025-01-17T20:15:00Z,USD,10,10,,,,Grog Shop,https://www.ticketweb.com/venue/grog-shop-cleveland-heights-oh/12847,+ $3 AT DOOR IF UNDER 21
San Antonio Stock Show & Rodeo Followed By Bellamy Brothers,2/9/2025,2024-08-08T15:00:00Z,USD,35,100,There is an overall 10 ticket limit per household. Any orders exceeding this limit will be cancelled without notice.,https://mapsapi.tmol.io/maps/geometry/3/event/3A00609D8CF42551/staticImage?type=png&systemId=HOST,SAN ANTONIO LIVESTOCK & EXPO,Frost Bank Center,https://www.ticketmaster.com/frost-bank-center-tickets-san-antonio/venue/475590,"Concert performers are subject to change and are not a condition of ticket sale. The rodeo lasts approximately 2 hours. After the last bull has bucked, there is a brief intermission (approx. 15 minutes) followed by the entertainment. The concert lasts between 60 to 75 minutes. Your Rodeo ticket also includes Stock Show & Rodeo fairgrounds admission so that you can enjoy all that the 2025 San Antonio Stock Show and Rodeo has to offer. To review schedule of events and activities please keep checking our website at www.sarodeo.com Children 3 years and older must have a ticket."
The Afro Latin Jazz Octet,2/9/2025,2024-11-06T17:20:00Z,USD,35.46,45.76,,,,Birdland Jazz Club,https://www.ticketweb.com/venue/birdland-jazz-club-new-york-ny/426135,
"SIMS Benefit Show featuring Shared Walls, Nolo and Semihelix",2/9/2025,2025-01-02T16:00:00Z,USD,15,15,,https://mapsapi.tmol.io/maps/geometry/3/event/3A006185F49F6766/staticImage?type=png&systemId=HOST,MISCELLANEOUS PROMOTER,Antone's Nightclub,https://www.ticketmaster.com/antones-nightclub-tickets-austin/venue/476138,"Please Note: SEATING Limited seating is available on a first-come, first-served basis. We recommend guests arrive early for the best chance of securing a table, chair, or barstool. Antone’s is ADA compliant and handicap accessible. PARKING Valet Parking is available 7 nights a week at The Westin Austin Downtown, located at 310 E 5th St. There is also metered street parking available along East 5th Street and in the vicinity of Antone?s. FOOD Antone’s proudly serves beer-steamed Cliffy Dog hotdogs and Antone’s Famous Po Boys in five classic varieties: Original, Turkey & Swiss, Premium Roast Beef, Tuna, and The Piggy. These iconic sandwiches, created by Clifford’s uncle Jalal in 1962, are available with Zapp’s New Orleans Kettle Style Potato Chips."
Hoodoo After the Game!,2/9/2025,2025-02-03T15:00:00Z,USD,10,10,,,CELEBRITY ETC PRESENTS,Rumba Cafe,https://www.ticketweb.com/venue/rumba-cafe-columbus-oh/25038,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. You must bring your valid ID to pick up tickets. By clicking the ""Place Order"" button on the Payment page, you are agreeing to the TicketWeb Purchase Policy and Privacy Notice. I also understand and agree that all sales are final. There are no refunds unless the event is cancelled or postponed. I understand that some venues may have age restrictions or ask for a small additional cash gratuity fee at the door for those under 21. Please check the show info for details Your payment will be processed Dance at your own risk. By participating on the venue dance floor you assume all risks associated with doing so and & release the venue and promoter from any liability in the event of injury, bodily harm or illness."
STL Punk Rock Flea Market Presents: Koffin Kats,2/9/2025,2024-11-18T18:00:00Z,USD,20,20,,,,Off Broadway,https://www.ticketweb.com/venue/off-broadway-saint-louis-mo/18478,
SALSA & BACHATA SUNDAYS en La Rumba!,2/9/2025,2025-02-04T17:55:00Z,USD,14.13,14.13,,,,La Rumba,https://www.ticketweb.com/venue/la-rumba-denver-co/496325,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
"HellBound ft/ DDCXI , DJ Necro, DJ FAZ, Sir Braun",2/9/2025,2025-01-28T15:00:00Z,USD,20,20,,,,Middle East - Zuzu,https://www.ticketweb.com/venue/middle-east--zuzu-cambridge-ma/250434,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund. FAQ: *WILL CALL CUSTOMERS* - Will Call pick up is located at the Door when doors open, night of show (*NOTE: Will Call never closes), you'll just need to show your I.D. **PLEASE NOTE: The time listed on the ticket is the time when doors open, not when the performance starts. For up to date set times, check www.twitter.com/MidEastClub or call our Box Office Hotline at 1-617-864-3278 and enter *100 at the prompt. TERMS AND CONDITIONS: NO VAPING OR SMOKING IN THE BUILDING I understand that my email address will be added to the venue and/or promoter's email update list and I know that I am welcome to unsubscribe at any time. I understand that VALID I.D. is required for entry for events that are 18+ or 21+ and that if I do not provide a VALID I.D. I will be denied admission. I understand that for All Ages events VALID I.D. is only required by anyone over 21 who wishes to purchase or consume alcohol, regardless of apparent age - NO EXCEPTIONS. I understand that if I am over 21 and do not provide valid I.D., I will not be served alcohol. I understand that anyone who consumes alcohol without having provided proper I.D. or is under 21 will be ejected from the venue without refund. I understand that, per order of the City of Cambridge, only the following forms of I.D. are considered valid: * a current US- or Canada-issued driver's license, * a current Massachusetts liquor I.D., * a current US Military I.D., or * a current Passport. I understand that student I.D.'s and foreign driver's licenses are NOT considered valid. I understand that if I try to use a student I.D. or foreign driver's license, I will be denied admission. I realize that this I.D. policy is required by law and not subject to staff discretion."
Kyle Kimbrell Solo Sunday 7pm,2/9/2025,2024-11-01T13:25:00Z,USD,5,5,,,,The Nick,https://www.ticketweb.com/venue/the-nick-birmingham-al/475725,"This event is 21 and over. Any ticket holder unable to present valid identification indicating that they are at least 21 years of age will not be admitted to this event, and will not be eligible for a refund."
